Disease;Symptom;Treatment
Alzheimer's Disease;Not fever, cough, fatigue, not difficulty breathing;Cholinesterase inhibitors, supportive care
Bronchitis;fever, cough, fatigue, difficulty breathing;Cough suppressants, bronchodilators
Chronic Obstructive Pulmonary Disease (COPD);fever, cough, fatigue, difficulty breathing;Bronchodilators, corticosteroids
Chronic Obstructive Pulmonary Disease (COPD);fever, cough, fatigue, difficulty breathing;Bronchodilators, corticosteroids
Dementia;Not fever, cough, fatigue, not difficulty breathing;Supportive care, medications
Diabetes;fever, not cough, fatigue, not difficulty breathing;Insulin, dietary management
Diverticulitis;Not fever, cough, fatigue, not difficulty breathing;Dietary changes, antibiotics
Liver Cancer;fever, not cough, fatigue, not difficulty breathing;Surgery, chemotherapy, targeted therapy
Lung Cancer;fever, not cough, fatigue, not difficulty breathing;Surgery, chemotherapy, radiation therapy
Lung Cancer;fever, cough, fatigue, not difficulty breathing;Surgery, chemotherapy, radiation therapy
Mumps;Not fever, cough, fatigue, not difficulty breathing;Supportive care, vaccination
Mumps;Not fever, cough, fatigue, not difficulty breathing;Supportive care, vaccination
Osteoporosis;Not fever, not cough, fatigue, not difficulty breathing;Calcium and vitamin D supplements, bisphosphonates
Stroke;fever, not cough, fatigue, not difficulty breathing;Emergency treatment (thrombolysis, rehab)
Alzheimer's Disease;fever, cough, fatigue, not difficulty breathing;Cholinesterase inhibitors, supportive care
Alzheimer's Disease;fever, cough, fatigue, not difficulty breathing;Cholinesterase inhibitors, supportive care
Cholecystitis;Not fever, cough, fatigue, not difficulty breathing;Surgery, dietary management
Chronic Obstructive Pulmonary Disease (COPD);Not fever, not cough, fatigue, difficulty breathing;Bronchodilators, corticosteroids
Chronic Obstructive Pulmonary Disease (COPD);Not fever, not cough, fatigue, difficulty breathing;Bronchodilators, corticosteroids
Osteoporosis;fever, cough, not fatigue, not difficulty breathing;Calcium and vitamin D supplements, bisphosphonates
Parkinson's Disease;Not fever, cough, fatigue, not difficulty breathing;Dopamine agonists, physical therapy
Prostate Cancer;fever, not cough, not fatigue, not difficulty breathing;Surgery, radiation therapy, hormonal therapy
Schizophrenia;Not fever, not cough, fatigue, not difficulty breathing;Antipsychotics, therapy
Gout;fever, cough, fatigue, not difficulty breathing;NSAIDs, colchicine
Migraine;Not fever, cough, fatigue, not difficulty breathing;Pain relievers, preventive medications
Stroke;Not fever, not cough, not fatigue, not difficulty breathing;Emergency treatment (thrombolysis, rehab)
Stroke;Not fever, not cough, not fatigue, not difficulty breathing;Emergency treatment (thrombolysis, rehab)
Testicular Cancer;Not fever, cough, fatigue, not difficulty breathing;Surgery, chemotherapy, radiation therapy
Tonsillitis;fever, not cough, fatigue, not difficulty breathing;Antibiotics, pain relievers
Williams Syndrome;Not fever, cough, fatigue, not difficulty breathing;Supportive care, therapy
Stroke;fever, cough, fatigue, not difficulty breathing;Emergency treatment (thrombolysis, rehab)
Stroke;fever, cough, fatigue, not difficulty breathing;Emergency treatment (thrombolysis, rehab)
Stroke;fever, cough, fatigue, not difficulty breathing;Emergency treatment (thrombolysis, rehab)
Stroke;fever, cough, fatigue, not difficulty breathing;Emergency treatment (thrombolysis, rehab)
Stroke;fever, cough, fatigue, not difficulty breathing;Emergency treatment (thrombolysis, rehab)
